
=== GRAPH INFO ===
Nodi: 185742
Archi: 591042
Duration (sec): 152482687 = 4y in interval [1610801512, 1763284199]
Delta (sec): 358020 = 4d3h27min


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 57141

size 186 → 1 pattern
size 187 → 4 pattern
size 189 → 2 pattern
size 190 → 6 pattern
size 191 → 6 pattern
size 192 → 4 pattern
size 193 → 4 pattern
size 194 → 3 pattern
size 195 → 3 pattern
size 196 → 3 pattern
size 197 → 5 pattern
size 198 → 5 pattern
size 199 → 7 pattern
size 200 → 3 pattern
size 201 → 3 pattern
size 202 → 4 pattern
size 203 → 4 pattern
size 204 → 4 pattern
size 205 → 1 pattern
size 206 → 3 pattern
size 207 → 1 pattern
size 208 → 7 pattern
size 209 → 2 pattern
size 210 → 2 pattern
size 211 → 2 pattern
size 212 → 4 pattern
size 213 → 2 pattern
size 214 → 3 pattern
size 215 → 4 pattern
size 216 → 5 pattern
size 217 → 4 pattern
size 218 → 8 pattern
size 219 → 5 pattern
size 220 → 4 pattern
size 223 → 1 pattern
size 224 → 1 pattern
size 225 → 2 pattern
size 226 → 6 pattern
size 227 → 5 pattern
size 228 → 5 pattern
size 229 → 5 pattern
size 230 → 3 pattern
size 231 → 3 pattern
size 232 → 7 pattern
size 233 → 2 pattern
size 234 → 4 pattern
size 235 → 5 pattern
size 236 → 2 pattern
size 237 → 5 pattern
size 238 → 1 pattern
size 239 → 4 pattern
size 240 → 3 pattern
size 241 → 5 pattern
size 242 → 5 pattern
size 243 → 1 pattern
size 244 → 1 pattern
size 245 → 4 pattern
size 246 → 4 pattern
size 247 → 2 pattern
size 248 → 2 pattern
size 249 → 4 pattern
size 250 → 3 pattern
size 251 → 4 pattern
size 252 → 1 pattern
size 253 → 4 pattern
size 254 → 3 pattern
size 255 → 2 pattern
size 256 → 4 pattern
size 257 → 5 pattern
size 258 → 1 pattern
size 259 → 4 pattern
size 260 → 1 pattern
size 261 → 1 pattern
size 262 → 2 pattern
size 263 → 2 pattern
size 264 → 3 pattern
size 265 → 5 pattern
size 267 → 3 pattern
