
=== GRAPH INFO ===
Nodi: 185742
Archi: 591042
Duration (sec): 152482687 = 4y in interval [1610801512, 1763284199]
Delta (sec): 152482687 = 4y10m


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 62132

size 268 → 2 pattern
size 269 → 4 pattern
size 270 → 4 pattern
size 271 → 6 pattern
size 272 → 4 pattern
size 273 → 6 pattern
size 274 → 5 pattern
size 276 → 3 pattern
size 277 → 3 pattern
size 278 → 4 pattern
size 279 → 4 pattern
size 280 → 3 pattern
size 281 → 9 pattern
size 282 → 7 pattern
size 283 → 4 pattern
size 284 → 3 pattern
size 285 → 6 pattern
size 286 → 3 pattern
size 287 → 4 pattern
size 288 → 1 pattern
size 289 → 4 pattern
size 290 → 2 pattern
size 291 → 4 pattern
size 292 → 6 pattern
size 293 → 3 pattern
size 294 → 4 pattern
size 295 → 5 pattern
size 296 → 3 pattern
size 297 → 5 pattern
size 298 → 3 pattern
size 299 → 2 pattern
size 300 → 3 pattern
size 301 → 4 pattern
size 302 → 7 pattern
size 303 → 1 pattern
size 304 → 1 pattern
size 305 → 2 pattern
size 306 → 6 pattern
size 307 → 6 pattern
size 308 → 8 pattern
size 309 → 4 pattern
size 310 → 4 pattern
size 311 → 4 pattern
size 312 → 2 pattern
size 313 → 2 pattern
size 314 → 5 pattern
size 315 → 7 pattern
size 316 → 2 pattern
size 317 → 3 pattern
size 318 → 1 pattern
size 319 → 4 pattern
size 320 → 2 pattern
size 321 → 4 pattern
size 322 → 1 pattern
size 323 → 2 pattern
size 324 → 5 pattern
size 325 → 3 pattern
size 327 → 3 pattern
size 328 → 3 pattern
size 329 → 3 pattern
size 330 → 1 pattern
size 331 → 6 pattern
size 332 → 1 pattern
size 333 → 5 pattern
size 334 → 5 pattern
size 335 → 4 pattern
size 336 → 4 pattern
size 337 → 5 pattern
size 338 → 4 pattern
size 339 → 3 pattern
size 340 → 4 pattern
size 341 → 3 pattern
size 342 → 4 pattern
size 343 → 5 pattern
size 344 → 2 pattern
size 345 → 5 pattern
size 346 → 4 pattern
size 347 → 4 pattern
size 348 → 5 pattern
size 349 → 3 pattern
size 350 → 9 pattern
size 351 → 2 pattern
size 352 → 5 pattern
size 353 → 4 pattern
size 354 → 1 pattern
size 355 → 7 pattern
size 356 → 2 pattern
size 357 → 8 pattern
size 358 → 3 pattern
size 359 → 1 pattern
size 360 → 4 pattern
size 361 → 4 pattern
size 362 → 3 pattern
size 363 → 6 pattern
size 364 → 3 pattern
size 365 → 3 pattern
size 366 → 5 pattern
size 367 → 3 pattern
size 368 → 6 pattern
size 369 → 3 pattern
size 370 → 1 pattern
size 371 → 10 pattern
size 372 → 5 pattern
size 374 → 4 pattern
size 375 → 4 pattern
size 376 → 5 pattern
size 377 → 3 pattern
size 378 → 5 pattern
size 379 → 5 pattern
size 380 → 5 pattern
size 381 → 2 pattern
size 382 → 5 pattern
size 383 → 1 pattern
size 384 → 8 pattern
size 385 → 2 pattern
size 386 → 5 pattern
size 387 → 4 pattern
size 388 → 4 pattern
size 389 → 7 pattern
size 390 → 4 pattern
size 391 → 1 pattern
size 392 → 2 pattern
size 394 → 4 pattern
size 395 → 1 pattern
size 396 → 3 pattern
size 397 → 3 pattern
size 398 → 2 pattern
size 399 → 2 pattern
size 400 → 6 pattern
size 401 → 5 pattern
size 402 → 7 pattern
size 403 → 1 pattern
size 404 → 4 pattern
size 405 → 4 pattern
size 406 → 4 pattern
size 408 → 4 pattern
size 409 → 3 pattern
size 410 → 2 pattern
size 411 → 1 pattern
size 412 → 7 pattern
size 413 → 3 pattern
size 414 → 9 pattern
size 415 → 1 pattern
size 416 → 4 pattern
size 417 → 2 pattern
size 418 → 3 pattern
size 419 → 6 pattern
size 420 → 7 pattern
size 421 → 4 pattern
size 423 → 5 pattern
size 424 → 3 pattern
size 425 → 2 pattern
size 426 → 3 pattern
size 427 → 3 pattern
size 428 → 2 pattern
size 429 → 1 pattern
size 430 → 4 pattern
size 431 → 3 pattern
size 432 → 4 pattern
size 433 → 3 pattern
size 434 → 5 pattern
size 435 → 1 pattern
size 436 → 4 pattern
size 437 → 2 pattern
size 438 → 1 pattern
size 439 → 1 pattern
size 441 → 1 pattern
size 442 → 4 pattern
size 443 → 3 pattern
size 444 → 3 pattern
size 445 → 5 pattern
size 446 → 1 pattern
size 447 → 7 pattern
size 448 → 5 pattern
size 449 → 2 pattern
size 450 → 1 pattern
size 451 → 6 pattern
size 452 → 2 pattern
size 454 → 2 pattern
size 455 → 3 pattern
size 456 → 4 pattern
size 457 → 4 pattern
size 458 → 5 pattern
size 459 → 1 pattern
size 460 → 5 pattern
size 461 → 2 pattern
size 462 → 1 pattern
size 463 → 1 pattern
size 464 → 3 pattern
size 465 → 3 pattern
size 466 → 2 pattern
size 467 → 2 pattern
size 468 → 2 pattern
size 469 → 3 pattern
size 470 → 1 pattern
size 471 → 3 pattern
size 472 → 6 pattern
size 473 → 4 pattern
size 474 → 5 pattern
size 475 → 4 pattern
size 476 → 4 pattern
size 477 → 3 pattern
size 478 → 5 pattern
size 479 → 3 pattern
size 480 → 3 pattern
size 482 → 1 pattern
size 483 → 3 pattern
size 484 → 2 pattern
size 485 → 5 pattern
size 486 → 2 pattern
size 487 → 5 pattern
size 488 → 1 pattern
size 489 → 2 pattern
size 490 → 3 pattern
size 492 → 2 pattern
size 493 → 2 pattern
size 494 → 5 pattern
size 495 → 2 pattern
size 496 → 2 pattern
size 497 → 2 pattern
size 498 → 2 pattern
size 499 → 4 pattern
size 500 → 1 pattern
size 501 → 5 pattern
size 502 → 4 pattern
size 503 → 3 pattern
size 504 → 3 pattern
size 505 → 2 pattern
size 506 → 1 pattern
size 507 → 2 pattern
size 509 → 3 pattern
size 510 → 2 pattern
size 511 → 3 pattern
size 512 → 2 pattern
size 513 → 1 pattern
size 514 → 5 pattern
size 515 → 2 pattern
size 517 → 2 pattern
size 518 → 2 pattern
size 519 → 2 pattern
size 521 → 1 pattern
size 522 → 2 pattern
size 523 → 3 pattern
size 524 → 1 pattern
size 525 → 3 pattern
size 526 → 3 pattern
size 527 → 3 pattern
size 530 → 5 pattern
size 531 → 1 pattern
size 532 → 2 pattern
size 533 → 3 pattern
size 534 → 5 pattern
size 535 → 4 pattern
size 536 → 4 pattern
size 538 → 3 pattern
size 539 → 2 pattern
size 540 → 2 pattern
size 541 → 1 pattern
size 542 → 3 pattern
size 543 → 3 pattern
size 544 → 2 pattern
size 545 → 1 pattern
size 546 → 4 pattern
size 547 → 5 pattern
size 548 → 1 pattern
size 549 → 1 pattern
size 550 → 3 pattern
size 551 → 3 pattern
size 552 → 1 pattern
size 553 → 2 pattern
size 554 → 2 pattern
size 555 → 2 pattern
size 556 → 1 pattern
size 557 → 1 pattern
size 558 → 3 pattern
size 560 → 1 pattern
size 561 → 3 pattern
size 562 → 1 pattern
size 563 → 1 pattern
size 564 → 2 pattern
size 565 → 4 pattern
size 566 → 1 pattern
size 567 → 4 pattern
size 568 → 3 pattern
size 570 → 4 pattern
size 571 → 2 pattern
size 572 → 1 pattern
size 573 → 3 pattern
