
=== GRAPH INFO ===
Nodi: 191928
Archi: 717436
Duration (sec): 152483117 = 4y in interval [1610801082, 1763284199]
Delta (sec): 407124 = 4d17h5min24s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 65957

size 2380 → 1 pattern
size 2383 → 1 pattern
size 2651 → 1 pattern
size 2693 → 1 pattern
size 2722 → 1 pattern
size 2787 → 1 pattern
size 2824 → 1 pattern
size 2841 → 1 pattern
size 3374 → 1 pattern
size 3415 → 1 pattern
size 3530 → 1 pattern
size 3565 → 1 pattern
size 3870 → 1 pattern
size 4066 → 1 pattern
size 4188 → 1 pattern
size 4375 → 1 pattern
size 4547 → 1 pattern
size 4575 → 1 pattern
size 4821 → 1 pattern
size 5793 → 1 pattern
size 5959 → 1 pattern
size 6542 → 1 pattern
size 6990 → 1 pattern
size 7408 → 1 pattern
size 8516 → 1 pattern
size 9745 → 1 pattern
Contiguous

=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 29120

size 2 → 23416 pattern
size 3 → 4368 pattern
size 4 → 868 pattern
size 5 → 258 pattern
size 6 → 47 pattern
size 7 → 13 pattern
size 8 → 146 pattern
size 13 → 1 pattern
size 17 → 1 pattern
size 18 → 1 pattern
size 21 → 1 pattern

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 11340

size 2 → 4578 pattern
size 3 → 664 pattern
size 4 → 685 pattern
size 5 → 219 pattern
size 6 → 179 pattern
size 7 → 150 pattern
size 8 → 126 pattern
size 9 → 101 pattern
size 10 → 110 pattern
size 11 → 103 pattern
size 12 → 69 pattern
size 13 → 73 pattern
size 14 → 65 pattern
size 15 → 59 pattern
size 16 → 53 pattern
size 17 → 46 pattern
size 18 → 58 pattern
size 19 → 34 pattern
size 20 → 43 pattern
size 21 → 53 pattern
size 22 → 31 pattern
size 23 → 34 pattern
size 24 → 22 pattern
size 25 → 26 pattern
size 26 → 27 pattern
size 27 → 20 pattern
size 28 → 28 pattern
size 29 → 20 pattern
size 30 → 29 pattern
size 31 → 29 pattern
size 32 → 27 pattern
size 33 → 21 pattern
size 34 → 25 pattern
size 35 → 25 pattern
size 36 → 22 pattern
size 37 → 16 pattern
size 38 → 17 pattern
size 39 → 17 pattern
size 40 → 16 pattern
size 41 → 19 pattern
size 42 → 17 pattern
size 43 → 26 pattern
size 44 → 20 pattern
size 45 → 18 pattern
size 46 → 18 pattern
size 47 → 17 pattern
size 48 → 13 pattern
size 49 → 16 pattern
size 50 → 20 pattern
size 51 → 23 pattern
size 52 → 17 pattern
size 53 → 14 pattern
size 54 → 12 pattern
size 55 → 14 pattern
size 56 → 14 pattern
size 57 → 13 pattern
size 58 → 10 pattern
size 59 → 9 pattern
size 60 → 17 pattern
size 61 → 14 pattern
size 62 → 13 pattern
size 63 → 18 pattern
size 64 → 7 pattern
size 65 → 7 pattern
size 66 → 6 pattern
size 67 → 10 pattern
size 68 → 16 pattern
size 69 → 13 pattern
size 70 → 15 pattern
size 71 → 10 pattern
size 72 → 13 pattern
size 73 → 8 pattern
size 74 → 6 pattern
size 75 → 11 pattern
size 76 → 10 pattern
size 77 → 14 pattern
size 78 → 14 pattern
size 79 → 15 pattern
size 80 → 8 pattern
size 81 → 10 pattern
size 82 → 3 pattern
size 83 → 13 pattern
size 84 → 10 pattern
size 85 → 11 pattern
size 86 → 7 pattern
size 87 → 14 pattern
size 88 → 11 pattern
size 89 → 5 pattern
size 90 → 11 pattern
size 91 → 6 pattern
size 92 → 11 pattern
size 93 → 10 pattern
size 94 → 14 pattern
size 95 → 7 pattern
size 96 → 15 pattern
size 97 → 4 pattern
size 98 → 11 pattern
size 99 → 6 pattern
size 100 → 10 pattern
size 101 → 13 pattern
size 102 → 6 pattern
size 103 → 3 pattern
size 104 → 5 pattern
size 105 → 7 pattern
size 106 → 9 pattern
size 107 → 9 pattern
size 108 → 6 pattern
size 109 → 6 pattern
size 110 → 4 pattern
size 111 → 10 pattern
size 112 → 5 pattern
size 113 → 5 pattern
size 114 → 3 pattern
size 115 → 8 pattern
size 116 → 5 pattern
size 117 → 7 pattern
size 118 → 5 pattern
size 119 → 8 pattern
size 120 → 7 pattern
size 121 → 4 pattern
size 122 → 8 pattern
size 123 → 9 pattern
size 124 → 11 pattern
size 125 → 4 pattern
size 126 → 3 pattern
size 127 → 4 pattern
size 128 → 5 pattern
size 129 → 6 pattern
size 130 → 9 pattern
size 131 → 3 pattern
size 132 → 4 pattern
size 133 → 2 pattern
size 134 → 4 pattern
size 135 → 9 pattern
size 136 → 9 pattern
size 137 → 8 pattern
size 138 → 6 pattern
size 139 → 9 pattern
size 140 → 12 pattern
size 141 → 5 pattern
size 142 → 2 pattern
size 143 → 4 pattern
size 144 → 5 pattern
size 145 → 5 pattern
size 146 → 4 pattern
size 147 → 5 pattern
size 148 → 2 pattern
size 149 → 11 pattern
size 150 → 3 pattern
size 151 → 9 pattern
size 152 → 6 pattern
size 153 → 8 pattern
size 154 → 5 pattern
size 155 → 4 pattern
size 156 → 5 pattern
size 157 → 2 pattern
size 158 → 3 pattern
size 159 → 6 pattern
size 160 → 5 pattern
size 161 → 5 pattern
size 162 → 5 pattern
size 163 → 4 pattern
size 164 → 3 pattern
size 165 → 3 pattern
size 166 → 4 pattern
size 167 → 1 pattern
size 168 → 3 pattern
size 169 → 7 pattern
size 170 → 4 pattern
size 171 → 2 pattern
size 172 → 5 pattern
size 173 → 4 pattern
size 174 → 1 pattern
size 175 → 4 pattern
size 176 → 2 pattern
size 177 → 7 pattern
size 178 → 9 pattern
size 179 → 6 pattern
size 180 → 2 pattern
size 181 → 6 pattern
size 182 → 2 pattern
size 183 → 3 pattern
size 184 → 3 pattern
size 185 → 3 pattern
size 187 → 5 pattern
size 189 → 2 pattern
size 190 → 6 pattern
size 191 → 5 pattern
size 192 → 5 pattern
size 193 → 3 pattern
size 194 → 3 pattern
size 195 → 1 pattern
size 196 → 4 pattern
size 197 → 7 pattern
size 198 → 3 pattern
size 199 → 6 pattern
size 200 → 4 pattern
size 201 → 4 pattern
size 202 → 4 pattern
size 203 → 5 pattern
size 204 → 4 pattern
size 205 → 1 pattern
size 206 → 4 pattern
size 207 → 2 pattern
size 208 → 6 pattern
size 209 → 3 pattern
size 210 → 2 pattern
size 211 → 2 pattern
size 212 → 3 pattern
size 213 → 2 pattern
size 214 → 2 pattern
size 215 → 3 pattern
size 216 → 7 pattern
size 217 → 4 pattern
size 218 → 8 pattern
size 219 → 8 pattern
size 220 → 5 pattern
size 221 → 1 pattern
size 223 → 2 pattern
size 225 → 1 pattern
size 226 → 5 pattern
size 227 → 6 pattern
size 228 → 5 pattern
size 229 → 5 pattern
size 230 → 5 pattern
size 231 → 4 pattern
size 232 → 6 pattern
size 233 → 2 pattern
size 234 → 5 pattern
size 235 → 6 pattern
size 236 → 3 pattern
size 237 → 4 pattern
size 238 → 2 pattern
size 239 → 4 pattern
size 240 → 1 pattern
size 241 → 5 pattern
size 242 → 5 pattern
size 243 → 3 pattern
size 244 → 1 pattern
size 245 → 5 pattern
size 246 → 4 pattern
size 247 → 3 pattern
size 248 → 1 pattern
size 249 → 5 pattern
size 250 → 4 pattern
size 251 → 6 pattern
size 252 → 2 pattern
size 253 → 4 pattern
size 254 → 2 pattern
size 255 → 3 pattern
size 256 → 4 pattern
size 257 → 4 pattern
size 258 → 3 pattern
size 259 → 4 pattern
size 260 → 1 pattern
size 261 → 1 pattern
size 262 → 1 pattern
size 263 → 2 pattern
size 264 → 3 pattern
size 265 → 5 pattern
size 266 → 2 pattern
size 267 → 3 pattern
size 268 → 1 pattern
size 269 → 2 pattern
size 270 → 2 pattern
size 271 → 6 pattern
size 272 → 2 pattern
size 273 → 3 pattern
size 274 → 2 pattern
size 276 → 4 pattern
size 279 → 3 pattern
size 280 → 2 pattern
size 281 → 3 pattern
size 282 → 3 pattern
size 283 → 3 pattern
size 284 → 3 pattern
size 285 → 3 pattern
size 286 → 2 pattern
size 287 → 2 pattern
size 288 → 2 pattern
size 289 → 4 pattern
size 290 → 1 pattern
size 291 → 1 pattern
size 292 → 4 pattern
size 294 → 2 pattern
size 295 → 2 pattern
size 296 → 2 pattern
size 297 → 3 pattern
