
=== GRAPH INFO ===
Nodi: 191928
Archi: 717436
Duration (sec): 152483117 = 4y in interval [1610801082, 1763284199]
Delta (sec): 152483117 = 4y10m


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 69581

size 450 → 1 pattern
size 451 → 2 pattern
size 452 → 5 pattern
size 453 → 6 pattern
size 454 → 3 pattern
size 455 → 3 pattern
size 456 → 3 pattern
size 457 → 2 pattern
size 458 → 4 pattern
size 459 → 3 pattern
size 460 → 2 pattern
size 462 → 4 pattern
size 463 → 2 pattern
size 464 → 3 pattern
size 465 → 2 pattern
size 466 → 2 pattern
size 467 → 2 pattern
size 468 → 1 pattern
size 469 → 4 pattern
size 470 → 3 pattern
size 471 → 1 pattern
size 472 → 4 pattern
size 473 → 1 pattern
size 474 → 6 pattern
size 475 → 4 pattern
size 476 → 5 pattern
size 477 → 4 pattern
size 478 → 5 pattern
