
=== GRAPH INFO ===
Nodi: 29427
Archi: 259367
Duration (sec): 227659473 = 7y in interval [1535634554, 1763294027]
Delta (sec): 217385252 = 6y10m3w5d


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 18103

size 314 → 3 pattern
size 315 → 1 pattern
size 316 → 3 pattern
size 317 → 6 pattern
size 318 → 3 pattern
size 319 → 9 pattern
size 320 → 1 pattern
size 321 → 3 pattern
size 322 → 1 pattern
size 323 → 6 pattern
size 324 → 3 pattern
size 325 → 8 pattern
size 326 → 2 pattern
size 328 → 4 pattern
size 329 → 1 pattern
size 330 → 1 pattern
size 331 → 3 pattern
size 333 → 4 pattern
size 334 → 5 pattern
size 336 → 1 pattern
size 337 → 4 pattern
size 338 → 3 pattern
size 339 → 1 pattern
size 340 → 3 pattern
size 341 → 5 pattern
size 342 → 3 pattern
size 343 → 3 pattern
size 344 → 1 pattern
size 345 → 5 pattern
size 346 → 1 pattern
size 347 → 5 pattern
size 348 → 2 pattern
size 349 → 2 pattern
size 350 → 3 pattern
size 352 → 6 pattern
size 353 → 1 pattern
size 354 → 4 pattern
size 355 → 3 pattern
size 356 → 1 pattern
size 357 → 2 pattern
size 358 → 3 pattern
size 359 → 3 pattern
size 360 → 2 pattern
size 361 → 1 pattern
size 362 → 5 pattern
size 364 → 2 pattern
size 365 → 4 pattern
size 367 → 3 pattern
size 368 → 3 pattern
size 369 → 2 pattern
size 370 → 2 pattern
size 371 → 1 pattern
size 372 → 2 pattern
size 373 → 2 pattern
size 374 → 3 pattern
size 375 → 3 pattern
size 376 → 1 pattern
size 378 → 1 pattern
size 379 → 2 pattern
size 380 → 2 pattern
size 381 → 1 pattern
size 382 → 2 pattern
size 383 → 4 pattern
size 384 → 1 pattern
size 385 → 1 pattern
size 386 → 2 pattern
size 387 → 1 pattern
size 388 → 1 pattern
size 391 → 4 pattern
size 392 → 3 pattern
size 394 → 1 pattern
size 395 → 2 pattern
size 397 → 2 pattern
size 398 → 1 pattern
size 399 → 3 pattern
size 400 → 4 pattern
size 401 → 1 pattern
size 402 → 2 pattern
size 403 → 1 pattern
size 404 → 2 pattern
size 406 → 2 pattern
size 407 → 1 pattern
size 408 → 3 pattern
size 409 → 2 pattern
size 411 → 4 pattern
size 412 → 3 pattern
size 415 → 4 pattern
size 416 → 1 pattern
size 418 → 2 pattern
size 420 → 2 pattern
size 421 → 2 pattern
size 422 → 2 pattern
size 423 → 1 pattern
size 424 → 3 pattern
size 425 → 3 pattern
size 426 → 1 pattern
size 427 → 1 pattern
size 428 → 2 pattern
size 429 → 1 pattern
size 430 → 3 pattern
size 431 → 2 pattern
size 432 → 1 pattern
size 433 → 2 pattern
size 434 → 1 pattern
size 435 → 3 pattern
size 436 → 4 pattern
size 437 → 1 pattern
size 439 → 3 pattern
size 440 → 2 pattern
size 441 → 2 pattern
size 442 → 3 pattern
size 443 → 1 pattern
size 444 → 3 pattern
size 445 → 3 pattern
size 446 → 2 pattern
size 447 → 2 pattern
size 448 → 2 pattern
size 449 → 3 pattern
size 450 → 1 pattern
size 451 → 1 pattern
size 452 → 1 pattern
size 453 → 1 pattern
size 454 → 1 pattern
size 455 → 1 pattern
size 456 → 3 pattern
size 457 → 2 pattern
size 458 → 1 pattern
size 459 → 1 pattern
size 463 → 1 pattern
size 464 → 3 pattern
size 465 → 1 pattern
size 467 → 2 pattern
size 468 → 3 pattern
size 469 → 2 pattern
size 470 → 2 pattern
size 471 → 2 pattern
size 472 → 1 pattern
size 473 → 1 pattern
size 474 → 2 pattern
size 475 → 1 pattern
size 477 → 1 pattern
size 478 → 4 pattern
size 480 → 2 pattern
size 481 → 1 pattern
size 482 → 1 pattern
size 484 → 1 pattern
size 485 → 2 pattern
size 486 → 1 pattern
size 487 → 3 pattern
size 488 → 2 pattern
size 489 → 3 pattern
size 490 → 2 pattern
size 491 → 2 pattern
size 493 → 1 pattern
size 494 → 1 pattern
size 496 → 1 pattern
size 497 → 3 pattern
size 498 → 1 pattern
size 499 → 1 pattern
size 500 → 2 pattern
size 502 → 3 pattern
size 504 → 2 pattern
size 506 → 3 pattern
size 508 → 1 pattern
size 509 → 3 pattern
size 510 → 1 pattern
size 511 → 2 pattern
size 512 → 3 pattern
size 515 → 2 pattern
size 516 → 2 pattern
size 518 → 1 pattern
size 519 → 1 pattern
size 521 → 4 pattern
size 523 → 5 pattern
size 524 → 1 pattern
size 525 → 3 pattern
size 526 → 2 pattern
size 527 → 2 pattern
size 529 → 3 pattern
size 531 → 2 pattern
